stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,date_donnee
A1003,1003,La Trigalle,CROIX-CHAPEAU - LA TRIGALLE,46.107384,-0.997703,1,"",2023-10-20 04:01:38.0
A1063,1063,Galland,DOMPIERRE - GALLAND,46.188628,-1.068435,1,"",2023-10-20 04:01:38.0
A1064,1064,Chagnolet,[Chagn],46.176377,-1.092484,1,"",2023-10-20 04:01:38.0
A1071,1071,La Grelèterie,DOMPIERRE - LA GRELETERIE,46.186565,-1.089516,1,"",2023-10-20 04:01:38.0
A1073,1073,Les Brandes,DOMPIERRE Les Brandes,46.187474,-1.083848,1,"",2023-10-20 04:01:38.0
A1074,1074,Mouillepieds,DOMPIERRE - MOUILLEPIEDS,46.207332,-1.048942,1,"",2023-10-20 04:01:38.0
A1158,1158,Mairie d'Esnandes,ESNANDES - MAIRIE,46.249619,-1.11601,1,"",2023-10-20 04:01:38.0
A1415,1415,Bourg de L'Houmeau,L'HOUMEAU - BOURG,46.193222,-1.187016,1,"",2023-10-20 04:01:38.0
A1433,1433,Carrefour de Buzay,LA JARNE Carrefour de Buzay,46.126693,-1.078236,1,"",2023-10-20 04:01:38.0
A1434,1434,Carrefour de Vuhé,LA JARNE Carrefour de Vuhé,46.118833,-1.077908,1,"",2023-10-20 04:01:38.0
A1436,1436,Ecoles,LA JARNE - ECOLES,46.129475,-1.070521,1,"",2023-10-20 04:01:38.0
A1438,1438,Le Givrand,LA JARNE - LE GIVRAND,46.130065,-1.080105,1,"",2023-10-20 04:01:38.0
A1439,1439,Le Moulin,LA JARNE - LE MOULIN,46.126464,-1.06747,1,"",2023-10-20 04:01:38.0
A1440,1440,Pluviers Dorés,LA JARNE - PLUVIERS DORES,46.12607,-1.064213,1,"",2023-10-20 04:01:38.0
A1443,1443,Chassagné,LA JARRIE Chassagné,46.131849,-1.044183,1,"",2023-10-20 04:01:38.0
A1447,1447,Collège Françoise Dolto,LA JARRIE - COLLEGE FRANCOISE DOLTO,46.1314,-1.00603,1,"",2023-10-20 04:01:38.0
A1448,1448,Fief Jaulin,LA JARRIE - FIEF JAULIN,46.124058,-1.006136,1,"",2023-10-20 04:01:38.0
A1455,1455,Les Abeilles,LA JARRIE Les Abeilles,46.129891,-1.002138,1,"",2023-10-20 04:01:38.0
A1491,1491,RTCR,[RTCR],46.177263,-1.156848,1,"",2023-10-20 04:01:38.0
A1493,1493,Collège Jean Guiton,[CESJG],46.172464,-1.17136,1,"",2023-10-20 04:01:38.0
A1494,1494,Zone d'Activités,[ZoAct],46.186189,-1.150938,1,"",2023-10-20 04:01:38.0
A1615,1615,Coulonge,MARSILLY - COULONGE,46.226228,-1.139904,1,"",2023-10-20 04:01:38.0
A1616,1616,Horizon,MARSILLY - HORIZON,46.232208,-1.145081,1,"",2023-10-20 04:01:38.0
A1618,1618,Moulin Neuf,MARSILLY - MOULIN NEUF,46.220484,-1.149302,1,"",2023-10-20 04:01:38.0
A1620,1620,Nantilly Beauvoirs,MARSILLY - NANTILLY BEAUVOIRS,46.233645,-1.129396,1,"",2023-10-20 04:01:38.0
A1621,1621,Place de Nantilly,MARSILLY - NANTILLY PLACE,46.229776,-1.131518,1,"",2023-10-20 04:01:38.0
A1841,1841,Les Ormeaux,MONTROY Les Ormeaux,46.152195,-1.007453,1,"",2023-10-20 04:01:38.0
A1842,1842,Mairie de Montroy,MONTROY - MAIRIE,46.156149,-1.013231,1,"",2023-10-20 04:01:38.0
A1844,1844,Saint-Julien,MONTROY Saint-Julien,46.164583,-1.027395,1,"",2023-10-20 04:01:38.0
A1976,1976,Centre Commercial de Nieul,[CCoNi],46.202273,-1.174919,1,"",2023-10-20 04:01:38.0
A1977,1977,L'Aubreçay,SAINT XANDRE L'Aubreçay,46.210917,-1.135633,1,"",2023-10-20 04:01:38.0
A1978,1978,L'Ouaille,[Ouail],46.209475,-1.184938,1,"",2023-10-20 04:01:38.0
A1979,1979,Lauzières,[Lauzi],46.208306,-1.186257,1,"",2023-10-20 04:01:38.0
A1980,1980,Nieul Le Gô,[GoNie],46.208926,-1.158206,1,"",2023-10-20 04:01:38.0
A1981,1981,Le Grimaud,NIEUL - LE GRIMAUD,46.20097,-1.171944,1,"",2023-10-20 04:01:38.0
A1983,1983,Moulin Ragot,[MoRag],46.19972,-1.159906,1,"",2023-10-20 04:01:38.0
A1985,1985,Salle Polyvalente de Nieul,[SaPNi],46.204688,-1.172013,1,"",2023-10-20 04:01:38.0
A1986,1986,Val Hureau,NIEUL - VAL HUREAU,46.211654,-1.160018,1,"",2023-10-20 04:01:38.0
A202,202,Alstom,[Alsto],46.136167,-1.123727,1,"",2023-10-20 04:01:38.0
A203,203,Bourg d'Aytré,[BgAyt] AYTRE Bourg,46.133634,-1.113191,1,"",2023-10-20 04:01:38.0
A205,205,Collège de l'Atlantique,AYTRE Collège de l'Atlantique,46.131507,-1.126082,1,"",2023-10-20 04:01:38.0
A206,206,Les Cèdres,[Cedre] AYTRE Les Cèdres,46.129836,-1.11679,1,"",2023-10-20 04:01:38.0
A207,207,Les Iles,[LIles],46.137849,-1.128519,1,"",2023-10-20 04:01:38.0
A208,208,Place des Grands Prés,[PGPre],46.132659,-1.121231,1,"",2023-10-20 04:01:38.0
A2253,2253,11 Novembre 1918,[11N18],46.17336,-1.150421,1,"",2023-10-20 04:01:38.0
A2254,2254,8 Mai 1945,[8MaiL],46.183092,-1.152411,1,"",2023-10-20 04:01:38.0
A2257,2257,Bel Air,[BlAir],46.166327,-1.1642,1,"",2023-10-20 04:01:38.0
A2259,2259,Champ de Mars,[CMars],46.169447,-1.148776,1,"",2023-10-20 04:01:38.0
A2260,2260,Collège Fabre d'Eglantine,[ColFa],46.152044,-1.115227,1,"",2023-10-20 04:01:38.0
A2261,2261,Collège de Beauregard,[CoBea],46.171097,-1.132516,1,"",2023-10-20 04:01:38.0
A2263,2263,Fabre d'Eglantine,[Fabre],46.150783,-1.116057,1,"",2023-10-20 04:01:38.0
A2265,2265,Hôpital,[Hopit],46.158328,-1.145022,1,"",2023-10-20 04:01:38.0
A2266,2266,Hôpital Lafond,[HLafo],46.176486,-1.136155,1,"",2023-10-20 04:01:38.0
A2268,2268,La Genette,[Genet],46.160648,-1.171787,1,"",2023-10-20 04:01:38.0
A2269,2269,La Trompette,[Tromp],46.1709,-1.158813,1,"",2023-10-20 04:01:38.0
A2270,2270,Centre de Soins,[CSoin],46.175135,-1.131405,1,"",2023-10-20 04:01:38.0
A2271,2271,Place des Halles,[PlHal],46.168933,-1.199794,1,"",2023-10-20 04:01:38.0
A2272,2272,Laleu Sports,[LSpor],46.164413,-1.200644,1,"",2023-10-20 04:01:38.0
A2273,2273,Le Mail Casino,[MCasi],46.155808,-1.166499,1,"",2023-10-20 04:01:38.0
A2274,2274,LEP Rompsay,[LEPRo],46.161013,-1.126484,1,"",2023-10-20 04:01:38.0
A2275,2275,Cité des Minimes,[CiMin],46.139355,-1.165886,1,"",2023-10-20 04:01:38.0
A2277,2277,Lycée Valin,[LyVal],46.154996,-1.135594,1,"",2023-10-20 04:01:38.0
A2278,2278,Lycée Vieljeux,[LyVje],46.177135,-1.151672,1,"",2023-10-20 04:01:38.0
A2280,2280,Guiardes,[Guiar],46.171674,-1.17977,1,"",2023-10-20 04:01:38.0
A2281,2281,Place de Lafond,[PLfon],46.174072,-1.145409,1,"",2023-10-20 04:01:38.0
A2282,2282,Place de Verdun,[PdV],46.162154,-1.153842,1,"",2023-10-20 04:01:38.0
A2283,2283,Port La Pallice,[PLPal],46.161144,-1.220066,1,"",2023-10-20 04:01:38.0
A2284,2284,Provence,[Prvce],46.156619,-1.177691,1,"",2023-10-20 04:01:38.0
A2285,2285,Stade M. Deflandre,[StdMD],46.157516,-1.180013,1,"",2023-10-20 04:01:38.0
A2286,2286,Porte Royale,[PRyal],46.162207,-1.141695,1,"",2023-10-20 04:01:38.0
A2287,2287,Prague,[Pragu],46.170534,-1.17405,1,"",2023-10-20 04:01:38.0
A2289,2289,Proudhon,[Proud],46.15319,-1.131067,1,"",2023-10-20 04:01:38.0
A2291,2291,Renaudot,[Rndot],46.159002,-1.161391,1,"",2023-10-20 04:01:38.0
A2292,2292,Rossignolette,[Rossi],46.165363,-1.186431,1,"",2023-10-20 04:01:38.0
A2293,2293,Dupaty,[Dupat],46.160127,-1.152872,1,"",2023-10-20 04:01:38.0
