route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_date_donnee
LD1,R12,RC3112818,Aytré - Grands Prés,0,0,D1-2,R32145,2024-01-22 04:01:44.0
LD1,R12,RC3112819,Aytré - Grands Prés,0,0,D1-1,R32145,2024-01-22 04:01:44.0
LD1,R12,RC3112820,Aytré - Grands Prés,0,0,D1-2,R32145,2024-01-22 04:01:44.0
LD1,R12,RC3112821,Aytré - Grands Prés,0,0,D1-1,R32145,2024-01-22 04:01:44.0
LD1,R12,RC3112822,Aytré - Grands Prés,0,0,D1-2,R32145,2024-01-22 04:01:44.0
LD1,R12,RC3112823,Aytré - Grands Prés,0,0,D1-1,R32145,2024-01-22 04:01:44.0
LD1,R12,RC3112824,Aytré - Grands Prés,0,0,D1-2,R32143,2024-01-22 04:01:44.0
LD1,R12,RC3112825,Aytré - Grands Prés,0,0,D1-1,R32143,2024-01-22 04:01:44.0
LD1,R12,RC3112826,Aytré - Grands Prés,0,0,D1-2,R32143,2024-01-22 04:01:44.0
LD1,R12,RC3112827,Aytré - Grands Prés,0,0,D1-1,R32143,2024-01-22 04:01:44.0
LD1,R12,RC3112828,Aytré - Grands Prés,0,0,D1-2,R32143,2024-01-22 04:01:44.0
LD1,R12,RC3112829,Aytré - Grands Prés,0,0,D1-1,R32143,2024-01-22 04:01:44.0
LD1,R12,RC3112830,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112831,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112832,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112833,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112834,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112835,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112836,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112837,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112838,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112839,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112840,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R12,RC3112841,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126120,Aytré - Grands Prés,0,0,D1-2,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126121,Aytré - Grands Prés,0,0,D1-1,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126122,Aytré - Grands Prés,0,0,D1-2,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126123,Aytré - Grands Prés,0,0,D1-1,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126124,Aytré - Grands Prés,0,0,D1-2,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126125,Aytré - Grands Prés,0,0,D1-1,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126126,Aytré - Grands Prés,0,0,D1-2,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126127,Aytré - Grands Prés,0,0,D1-1,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126128,Aytré - Grands Prés,0,0,D1-2,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126129,Aytré - Grands Prés,0,0,D1-1,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126130,Aytré - Grands Prés,0,0,D1-2,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126131,Aytré - Grands Prés,0,0,D1-1,R32143,2024-01-22 04:01:44.0
LD1,R14,RC3126132,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126133,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126134,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126135,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126136,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126137,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126138,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126139,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126140,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126141,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126142,La Pallice,0,1,D1-1,R32142,2024-01-22 04:01:44.0
LD1,R14,RC3126143,La Pallice,0,1,D1-2,R32142,2024-01-22 04:01:44.0
LD1,R2,RC3111137,Aytré - Grands Prés,0,0,D1-2,R25266,2024-01-22 04:01:44.0
LD1,R2,RC3111138,Aytré - Grands Prés,0,0,D1-1,R25266,2024-01-22 04:01:44.0
LD1,R2,RC3111139,Aytré - Grands Prés,0,0,D1-2,R25266,2024-01-22 04:01:44.0
LD1,R2,RC3111140,Aytré - Grands Prés,0,0,D1-1,R25266,2024-01-22 04:01:44.0
LD1,R2,RC3111141,Aytré - Grands Prés,0,0,D1-2,R25266,2024-01-22 04:01:44.0
LD1,R2,RC3111142,Aytré - Grands Prés,0,0,D1-1,R25266,2024-01-22 04:01:44.0
LD1,R2,RC3111143,Aytré - Grands Prés,0,0,D1-2,R25264,2024-01-22 04:01:44.0
LD1,R2,RC3111144,Aytré - Grands Prés,0,0,D1-1,R25264,2024-01-22 04:01:44.0
LD1,R2,RC3111145,Aytré - Grands Prés,0,0,D1-2,R25264,2024-01-22 04:01:44.0
LD1,R2,RC3111146,Aytré - Grands Prés,0,0,D1-1,R25264,2024-01-22 04:01:44.0
LD1,R2,RC3111147,Aytré - Grands Prés,0,0,D1-2,R25264,2024-01-22 04:01:44.0
LD1,R2,RC3111148,Aytré - Grands Prés,0,0,D1-1,R25264,2024-01-22 04:01:44.0
LD1,R2,RC3111149,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111150,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111151,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111152,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111153,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111154,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111155,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111156,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111157,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111158,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111159,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R2,RC3111160,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3096983,Aytré - Grands Prés,0,0,D1-2,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096984,Aytré - Grands Prés,0,0,D1-1,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096985,Aytré - Grands Prés,0,0,D1-2,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096986,Aytré - Grands Prés,0,0,D1-1,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096987,Aytré - Grands Prés,0,0,D1-2,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096988,Aytré - Grands Prés,0,0,D1-1,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096989,Aytré - Grands Prés,0,0,D1-2,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096990,Aytré - Grands Prés,0,0,D1-1,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096991,Aytré - Grands Prés,0,0,D1-2,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096992,Aytré - Grands Prés,0,0,D1-1,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096993,Aytré - Grands Prés,0,0,D1-2,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096994,Aytré - Grands Prés,0,0,D1-1,R25264,2024-01-22 04:01:44.0
LD1,R3,RC3096995,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3096996,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3096997,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3096998,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3096999,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3097000,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3097001,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3097002,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3097003,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3097004,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3097005,La Pallice,0,1,D1-1,R25271,2024-01-22 04:01:44.0
LD1,R3,RC3097006,La Pallice,0,1,D1-2,R25271,2024-01-22 04:01:44.0
LD2,R12,RC3112842,La Pallice,0,1,D2-1,R32173,2024-01-22 04:01:44.0
LD2,R12,RC3112843,La Pallice,0,1,D2-2,R32173,2024-01-22 04:01:44.0
LD2,R12,RC3112844,La Pallice,0,1,D2-1,R32173,2024-01-22 04:01:44.0
LD2,R12,RC3112845,La Pallice,0,1,D2-2,R32173,2024-01-22 04:01:44.0
LD2,R12,RC3112846,Mireuil,0,1,D2-1,R32165,2024-01-22 04:01:44.0
LD2,R12,RC3112847,Mireuil,0,1,D2-2,R32165,2024-01-22 04:01:44.0
LD2,R12,RC3112848,Mireuil,0,1,D2-1,R32165,2024-01-22 04:01:44.0
LD2,R12,RC3112849,Mireuil,0,1,D2-2,R32165,2024-01-22 04:01:44.0
LD2,R12,RC3112850,Mireuil,0,1,D2-1,R32165,2024-01-22 04:01:44.0
LD2,R12,RC3112851,Mireuil,0,1,D2-2,R32165,2024-01-22 04:01:44.0
LD2,R12,RC3112852,Mireuil,0,1,D2-1,R32165,2024-01-22 04:01:44.0
LD2,R12,RC3112853,Mireuil,0,1,D2-2,R32165,2024-01-22 04:01:44.0
LD2,R12,RC3112854,Périgny,0,0,D2-2,R32170,2024-01-22 04:01:44.0
LD2,R12,RC3112855,Périgny,0,0,D2-1,R32170,2024-01-22 04:01:44.0
LD2,R12,RC3112856,Périgny,0,0,D2-2,R32170,2024-01-22 04:01:44.0
LD2,R12,RC3112857,Périgny,0,0,D2-1,R32170,2024-01-22 04:01:44.0
LD2,R12,RC3112858,Périgny,0,0,D2-2,R32170,2024-01-22 04:01:44.0
LD2,R12,RC3112859,Périgny,0,0,D2-1,R32170,2024-01-22 04:01:44.0
LD2,R12,RC3112860,Périgny,0,0,D2-2,R32170,2024-01-22 04:01:44.0
LD2,R12,RC3112861,Périgny,0,0,D2-1,R32167,2024-01-22 04:01:44.0
LD2,R12,RC3112862,Périgny,0,0,D2-2,R32167,2024-01-22 04:01:44.0
LD2,R12,RC3112863,Périgny,0,0,D2-1,R32167,2024-01-22 04:01:44.0
LD2,R12,RC3112864,Périgny,0,0,D2-2,R32167,2024-01-22 04:01:44.0
LD2,R12,RC3112865,Périgny,0,0,D2-1,R32172,2024-01-22 04:01:44.0
LD2,R14,RC3113568,Mireuil,0,1,D2-1,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113569,Mireuil,0,1,D2-2,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113570,Mireuil,0,1,D2-1,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113571,Mireuil,0,1,D2-2,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113572,Mireuil,0,1,D2-1,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113573,Mireuil,0,1,D2-2,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113574,Mireuil,0,1,D2-1,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113575,Mireuil,0,1,D2-2,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113576,Mireuil,0,1,D2-1,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113577,Mireuil,0,1,D2-2,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113578,Mireuil,0,1,D2-1,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113579,Mireuil,0,1,D2-2,R32165,2024-01-22 04:01:44.0
LD2,R14,RC3113580,Périgny,0,0,D2-2,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113581,Périgny,0,0,D2-1,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113582,Périgny,0,0,D2-2,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113583,Périgny,0,0,D2-1,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113584,Périgny,0,0,D2-2,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113585,Périgny,0,0,D2-1,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113586,Périgny,0,0,D2-2,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113587,Périgny,0,0,D2-1,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113588,Périgny,0,0,D2-2,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113589,Périgny,0,0,D2-1,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113590,Périgny,0,0,D2-2,R32170,2024-01-22 04:01:44.0
LD2,R14,RC3113591,Périgny,0,0,D2-1,R32172,2024-01-22 04:01:44.0
LD2,R2,RC3110916,La Pallice,0,1,D2-1,R31918,2024-01-22 04:01:44.0
LD2,R2,RC3110917,La Pallice,0,1,D2-2,R31918,2024-01-22 04:01:44.0
LD2,R2,RC3110918,La Pallice,0,1,D2-1,R31918,2024-01-22 04:01:44.0
LD2,R2,RC3110919,La Pallice,0,1,D2-2,R31918,2024-01-22 04:01:44.0
LD2,R2,RC3110920,Mireuil,0,1,D2-1,R31922,2024-01-22 04:01:44.0
LD2,R2,RC3110921,Mireuil,0,1,D2-2,R31922,2024-01-22 04:01:44.0
LD2,R2,RC3110922,Mireuil,0,1,D2-1,R31922,2024-01-22 04:01:44.0
LD2,R2,RC3110923,Mireuil,0,1,D2-2,R31922,2024-01-22 04:01:44.0
LD2,R2,RC3110924,Mireuil,0,1,D2-1,R31922,2024-01-22 04:01:44.0
LD2,R2,RC3110925,Mireuil,0,1,D2-2,R31922,2024-01-22 04:01:44.0
LD2,R2,RC3110926,Mireuil,0,1,D2-1,R31922,2024-01-22 04:01:44.0
LD2,R2,RC3110927,Mireuil,0,1,D2-2,R31922,2024-01-22 04:01:44.0
LD2,R2,RC3110928,Périgny,0,0,D2-2,R31929,2024-01-22 04:01:44.0
LD2,R2,RC3110929,Périgny,0,0,D2-1,R31929,2024-01-22 04:01:44.0
LD2,R2,RC3110930,Périgny,0,0,D2-2,R31929,2024-01-22 04:01:44.0
LD2,R2,RC3110931,Périgny,0,0,D2-1,R31929,2024-01-22 04:01:44.0
LD2,R2,RC3110932,Périgny,0,0,D2-2,R31929,2024-01-22 04:01:44.0
LD2,R2,RC3110933,Périgny,0,0,D2-1,R31929,2024-01-22 04:01:44.0
LD2,R2,RC3110934,Périgny,0,0,D2-2,R31929,2024-01-22 04:01:44.0
LD2,R2,RC3110935,Périgny,0,0,D2-1,R31926,2024-01-22 04:01:44.0
LD2,R2,RC3110936,Périgny,0,0,D2-2,R31926,2024-01-22 04:01:44.0
LD2,R2,RC3110937,Périgny,0,0,D2-1,R31926,2024-01-22 04:01:44.0
LD2,R2,RC3110938,Périgny,0,0,D2-2,R31926,2024-01-22 04:01:44.0
LD2,R2,RC3110939,Périgny,0,0,D2-1,R31924,2024-01-22 04:01:44.0
LD2,R3,RC3098489,Mireuil,0,1,D2-1,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110667,Mireuil,0,1,D2-2,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110668,Mireuil,0,1,D2-1,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110669,Mireuil,0,1,D2-2,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110670,Mireuil,0,1,D2-1,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110671,Mireuil,0,1,D2-2,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110672,Mireuil,0,1,D2-1,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110673,Mireuil,0,1,D2-2,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110674,Mireuil,0,1,D2-1,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110675,Mireuil,0,1,D2-2,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110676,Mireuil,0,1,D2-1,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110677,Mireuil,0,1,D2-2,R31922,2024-01-22 04:01:44.0
LD2,R3,RC3110678,Périgny,0,0,D2-2,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110679,Périgny,0,0,D2-1,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110680,Périgny,0,0,D2-2,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110681,Périgny,0,0,D2-1,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110682,Périgny,0,0,D2-2,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110683,Périgny,0,0,D2-1,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110684,Périgny,0,0,D2-2,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110685,Périgny,0,0,D2-1,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110686,Périgny,0,0,D2-2,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110687,Périgny,0,0,D2-1,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110688,Périgny,0,0,D2-2,R31929,2024-01-22 04:01:44.0
LD2,R3,RC3110689,Périgny,0,0,D2-1,R31924,2024-01-22 04:01:44.0
LD3,R12,RC3112866,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3112867,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3112868,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3112869,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3112870,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3112871,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3112872,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3112873,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3112874,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3112875,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3112876,Lagord,1,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R12,RC3114615,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114616,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114617,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114618,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114619,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114620,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114621,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114622,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114623,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114624,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114625,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R12,RC3114626,Les Minimes,1,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113592,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113593,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113594,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113595,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113596,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113597,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113598,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113599,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113600,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113601,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113602,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113603,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113604,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113605,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113606,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113607,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113608,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113609,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113610,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113611,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113612,Lagord,0,1,D3-1,R32179,2024-01-22 04:01:44.0
LD3,R14,RC3113613,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R14,RC3113614,Les Minimes,0,0,D3-1,R32180,2024-01-22 04:01:44.0
LD3,R2,RC3095411,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095412,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095413,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095414,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095415,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095416,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095417,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095418,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095419,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095420,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095421,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3095422,Les Minimes,1,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R2,RC3110964,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R2,RC3110965,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R2,RC3110966,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R2,RC3110967,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R2,RC3110968,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R2,RC3110969,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R2,RC3110970,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R2,RC3110971,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R2,RC3110972,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R2,RC3110973,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R2,RC3110974,Lagord,1,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095338,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095339,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095340,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095341,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095342,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095343,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095344,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095345,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095346,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095347,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095348,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095349,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095350,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095351,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095352,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095353,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095354,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095355,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095356,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095357,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095358,Lagord,0,1,D3-1,R31935,2024-01-22 04:01:44.0
LD3,R3,RC3095359,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD3,R3,RC3095360,Les Minimes,0,0,D3-1,R31936,2024-01-22 04:01:44.0
LD4,R12,RC3126099,Les Minimes,0,0,D4-1,R32185,2024-01-22 04:01:44.0
LD4,R12,RC3126100,Beaulieu,0,1,D4-1,R32186,2024-01-22 04:01:44.0
LD4,R12,RC3126101,Les Minimes,0,0,D4-1,R32185,2024-01-22 04:01:44.0
LD4,R12,RC3126102,Beaulieu,0,1,D4-1,R32186,2024-01-22 04:01:44.0
LD4,R12,RC3126103,Les Minimes,0,0,D4-1,R32185,2024-01-22 04:01:44.0
LD4,R12,RC3126104,Beaulieu,0,1,D4-1,R32186,2024-01-22 04:01:44.0
