"route_id","origin","destination","departure","arrival"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","06:55:00","07:34:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","07:10:00","07:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","08:00:00","08:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","09:10:00","09:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","13:10:00","13:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","18:20:00","18:59:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","19:20:00","19:59:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","08:10:00","08:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","10:10:00","10:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","12:10:00","12:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","14:10:00","14:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","16:10:00","16:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","18:10:00","18:49:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","08:00:00","08:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","09:00:00","09:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","12:00:00","12:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","17:30:00","18:13:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","18:30:00","19:13:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","19:30:00","20:09:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","09:00:00","09:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","11:00:00","11:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","13:00:00","13:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","15:00:00","15:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","17:00:00","17:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","19:30:00","20:09:00"
