"stop_id","stop_name","stop_code","stop_desc","stop_lat","stop_lon","business_count_100m","business_count_200m","business_count_500m","business_count_1000m"
"A1443","Chassagné",1443,"LA JARRIE Chassagné",46.131849,-1.044183,2,3,4,30
"A1448","Fief Jaulin",1448,"LA JARRIE - FIEF JAULIN",46.124058,-1.006136,1,3,28,90
"A1455","Les Abeilles",1455,"LA JARRIE Les Abeilles",46.129891,-1.002138,NA,1,9,113
"A1842","Mairie de Montroy",1842,"MONTROY - MAIRIE",46.156149,-1.013231,3,6,19,27
"A2909","Treuil Arnaudeau",2909,"MONTROY Treuil Arnaudeau",46.171071,-1.004122,NA,2,8,8
"A3265","Bourg de Salles sur Mer",3265,"SALLES SUR MER - BOURG",46.105111,-1.053993,10,12,22,46
"A411","Centre-Bourg",411,"BOURGNEUF Centre-Bourg",46.167577,-1.024555,4,11,27,42
"A412","Calvaire",412,"BOURGNEUF Calvaire",46.170081,-1.01637,2,3,11,28
"A413","Les Gacheteries",413,"BOURGNEUF Les Gacheteries",46.162041,-1.021697,2,2,5,40
"A4686","Grande Rue",4686,"GROLLEAU GRANDE RUE",46.117543,-1.023795,2,4,18,24
"A4687","Le Puits",4687,"LA JARRIE - GROLLEAU LE PUITS",46.115382,-1.017946,2,2,9,29
"A4688","Rue du Chat",4688,"CROIX-CHAPEAU - RUE DU CHAT",46.111145,-1.010866,NA,NA,17,51
"A4689","Boulangerie",4689,"CROIX-CHAPEAU Boulangerie",46.109406,-1.00629,12,24,40,54
"A4690","Eglise de Saint Christophe",4690,"SAINT-CHRISTOPHE Eglise",46.145468,-0.947461,3,8,30,39
"A5047","P+R Saint-Rogatien",5047,"[PRRog]",46.148627,-1.062822,NA,NA,14,44
"A5711","ZAC de l'Aubépin",5711,"SALLES SUR MER - ZAC DE L'AUBEPIN",46.121191,-1.038026,NA,1,1,28
"A5735","L'Aumonerie",5735,"SALLES SUR MER L'Aumonerie",46.117375,-1.026103,6,9,13,21
"A5830","Croix Fort",5830,"CLAVETTE - CROIX FORT",46.136433,-1.014884,NA,1,5,92
"A5831","Fief Chapitre",5831,"LA JARRIE - FIEF CHAPITRE",46.134949,-1.010074,3,6,42,230
"A5954","Mairie de Clavette",5954,"CLAVETTE Mairie",46.138981,-1.027261,10,15,44,65
"A6566","Val Pastour",6566,"ST MEDARD - VAL PASTOUR",46.158707,-0.976531,5,8,15,21
"A6838","Puyvineux",6838,"SAINT-CHRISTOPHE Puyvineux",46.127037,-0.984275,1,7,22,23
"A6939","Moulin d'Amour de La Jarrie",6939,"LA JARRIE - MOULIN D'AMOUR",46.124217,-1.011415,NA,2,27,96
"A6940","Les Deux Moulins",6940,"LA JARRIE Les Deux Moulins",46.132326,-1.01367,NA,4,23,134
"A6964","Eglise de Salles sur Mer",6964,"SALLES SUR MER - EGLISE",46.104432,-1.052492,NA,3,22,41
"A7283","Le Verger",7283,"ST MEDARD - LE VERGER",46.158382,-0.970903,5,6,10,24
"A7447","Stade de Bourgneuf",7447,"BOURGNEUF Stade",46.170243,-1.020162,3,6,16,40
"A8005","La Jarrie Gare SNCF",8005,"LA JARRIE - Gare SNCF",46.120016,-1.023733,2,3,18,21
"A8007","Stade de Saint Christophe",8007,"SAINT CHRISTOPHE Stade",46.141579,-0.943643,NA,1,16,31
"A8037","Fief Retaillé",8037,"LA JARRIE - FIEF RETAILLE",46.117937,-1.00574,NA,NA,NA,42
"A840","Les Massardes",840,"CLAVETTE - LES MASSARDES",46.140452,-1.033438,3,6,20,54
"P6211","Sud Commanderie",6211,"",46.164624,-1.027391,NA,7,21,35
