"route_id","origin","destination","departure","arrival"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","06:52:00","07:35:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","07:07:00","07:55:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","08:07:00","08:55:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","09:12:00","09:55:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","13:12:00","13:55:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","18:22:00","19:05:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","19:22:00","20:05:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","08:12:00","08:55:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","10:12:00","10:55:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","12:12:00","12:55:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","14:12:00","14:55:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","16:12:00","16:55:00"
"L17","Stade de Saint Christophe","Gare La Rochelle (De Gaulle)","18:12:00","18:55:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","08:00:00","08:43:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","09:05:00","09:48:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","12:00:00","12:43:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","17:30:00","18:20:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","18:30:00","19:20:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","19:30:00","20:13:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","09:00:00","09:43:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","11:00:00","11:43:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","13:00:00","13:43:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","15:00:00","15:43:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","17:00:00","17:43:00"
"L17","Gare La Rochelle (De Gaulle)","Stade de Saint Christophe","19:30:00","20:13:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","06:55:00","07:34:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","07:10:00","07:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","08:00:00","08:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","09:10:00","09:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","13:10:00","13:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","18:20:00","18:59:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","19:20:00","19:59:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","08:10:00","08:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","10:10:00","10:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","12:10:00","12:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","14:10:00","14:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","16:10:00","16:49:00"
"L18","La Jarrie Gare SNCF","Gare La Rochelle (De Gaulle)","18:10:00","18:49:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","08:00:00","08:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","09:00:00","09:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","12:00:00","12:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","17:30:00","18:13:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","18:30:00","19:13:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","19:30:00","20:09:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","09:00:00","09:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","11:00:00","11:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","13:00:00","13:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","15:00:00","15:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","17:00:00","17:39:00"
"L18","Gare La Rochelle (De Gaulle)","La Jarrie Gare SNCF","19:30:00","20:09:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","06:37:00","07:00:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","06:46:00","07:30:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","07:17:00","08:00:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","07:40:00","08:30:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","08:17:00","09:00:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","09:22:00","09:45:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","09:53:00","10:30:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","10:37:00","11:00:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","11:08:00","11:45:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","11:48:00","12:15:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","12:42:00","13:25:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","13:48:00","14:25:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","14:42:00","15:05:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","15:17:00","15:40:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","15:45:00","16:15:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","16:30:00","17:00:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","17:23:00","18:00:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","18:23:00","19:00:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","19:23:00","20:00:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","06:59:00","07:30:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","07:17:00","07:40:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","08:03:00","08:40:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","09:03:00","09:40:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","09:43:00","10:20:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","10:37:00","11:00:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","11:07:00","11:30:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","11:52:00","12:15:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","12:08:00","12:45:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","12:51:00","13:20:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","13:53:00","14:30:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","14:23:00","15:00:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","15:07:00","15:30:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","15:47:00","16:10:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","16:22:00","16:45:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","17:27:00","17:50:00"
"L19","Pierre de Coubertin","Dames Blanches (Maubec)","18:02:00","18:25:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","18:43:00","19:20:00"
"L19","Les Bonneveaux","Dames Blanches (Maubec)","19:43:00","20:20:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","07:00:00","07:39:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","07:35:00","08:14:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","08:40:00","09:05:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","09:10:00","09:48:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","09:50:00","10:16:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","10:30:00","11:07:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","11:10:00","11:36:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","12:20:00","12:59:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","13:30:00","14:09:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","14:30:00","14:56:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","15:10:00","15:41:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","15:45:00","16:16:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","16:20:00","17:04:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","17:05:00","17:49:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","17:30:00","18:14:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","18:00:00","18:39:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","18:30:00","19:09:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","19:30:00","20:09:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","20:30:00","20:56:00"
"L19","Hôpital","Pierre de Coubertin","12:10:00","12:33:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","07:45:00","08:26:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","08:45:00","09:24:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","09:55:00","10:21:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","10:35:00","11:01:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","11:05:00","11:44:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","12:20:00","12:59:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","13:25:00","13:51:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","14:35:00","15:01:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","15:10:00","15:41:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","15:45:00","16:16:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","16:20:00","17:04:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","16:50:00","17:21:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","17:25:00","17:56:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","18:00:00","18:39:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","18:30:00","19:09:00"
"L19","Dames Blanches (Maubec)","Les Bonneveaux","19:30:00","20:09:00"
"L19","Dames Blanches (Maubec)","Pierre de Coubertin","20:30:00","20:56:00"
