"Commune","Count_Travelers_P20_ACT1564","Percentage"
"Bourgneuf",643.40998037483,1.61000759082047
"Clavette",770.145793625158,1.92713916724234
"Croix-Chapeau",675.292986214663,1.68978857493016
"La Jarrie",1595,3.99117543352783
"Montroy",482.926762669658,1.20842973752995
"La Rochelle",32889.4041234395,82.2992989096179
"Saint-Christophe",698.595462129528,1.74809846170871
"Saint-Médard d’Aunis",1192.14119543131,2.9831000956125
"Salles-sur-Mer",1016.24809628725,2.54296202901009
"Total",39963.1644001719,100
